p1,p2,label,p1_UniProt,p2_UniProt
ENSP00000025008,ENSP00000319788,1,Q8TDY2,P15559
ENSP00000025008,ENSP00000365230,1,Q8TDY2,Q07817
ENSP00000025008,ENSP00000437125,1,Q8TDY2,P11142
ENSP00000025008,ENSP00000324856,1,Q8TDY2,Q15831
ENSP00000025008,ENSP00000339527,1,Q8TDY2,O43524
ENSP00000025008,ENSP00000361021,1,Q8TDY2,P60484
ENSP00000025008,ENSP00000497594,1,Q8TDY2,Q05086
ENSP00000025008,ENSP00000212015,1,Q8TDY2,Q96EB6
ENSP00000025008,ENSP00000381185,1,Q8TDY2,P10415
ENSP00000025008,ENSP00000451828,1,Q8TDY2,P31749
ENSP00000025008,ENSP00000340883,1,Q8TDY2,G5E975
ENSP00000025008,ENSP00000269305,1,Q8TDY2,P04637
ENSP00000179259,ENSP00000361021,1,Q9NQ88,P60484
ENSP00000179259,ENSP00000384849,1,Q9NQ88,P38936
ENSP00000179259,ENSP00000478887,1,Q9NQ88,P01106
ENSP00000179259,ENSP00000451828,1,Q9NQ88,P31749
ENSP00000179259,ENSP00000256996,1,Q9NQ88,Q92466
ENSP00000179259,ENSP00000326119,1,Q9NQ88,Q13794
ENSP00000179259,ENSP00000251810,1,Q9NQ88,Q7LG56
ENSP00000179259,ENSP00000437955,1,Q9NQ88,Q16665
ENSP00000179259,ENSP00000258149,1,Q9NQ88,Q00987
ENSP00000179259,ENSP00000278616,1,Q9NQ88,Q13315
ENSP00000179259,ENSP00000416293,1,Q9NQ88,P11166
ENSP00000179259,ENSP00000377192,1,Q9NQ88,P11413
ENSP00000179259,ENSP00000444433,1,Q9NQ88,O43819
ENSP00000179259,ENSP00000269305,1,Q9NQ88,P04637
ENSP00000202556,ENSP00000379441,1,Q96KQ4,Q8N9B5
ENSP00000202556,ENSP00000293288,1,Q96KQ4,Q07812
ENSP00000202556,ENSP00000381185,1,Q96KQ4,P10415
ENSP00000202556,ENSP00000384273,1,Q96KQ4,Q04206
ENSP00000202556,ENSP00000404503,1,Q96KQ4,Q96PG8
ENSP00000202556,ENSP00000264731,1,Q96KQ4,Q9H3D4
ENSP00000202556,ENSP00000341957,1,Q96KQ4,Q13625
ENSP00000202556,ENSP00000367545,1,Q96KQ4,O15350
ENSP00000202556,ENSP00000269305,1,Q96KQ4,P04637
ENSP00000211287,ENSP00000361021,1,O15264,P60484
ENSP00000211287,ENSP00000344352,1,O15264,P18847
ENSP00000211287,ENSP00000302961,1,O15264,P34932
ENSP00000211287,ENSP00000335153,1,O15264,P07900
ENSP00000211287,ENSP00000433623,1,O15264,Q9Y4K3
ENSP00000211287,ENSP00000360609,1,O15264,P08238
ENSP00000211287,ENSP00000416293,1,O15264,P11166
ENSP00000211287,ENSP00000226574,1,O15264,P19838
ENSP00000211287,ENSP00000356438,1,O15264,P35354
ENSP00000211287,ENSP00000311032,1,O15264,P42574
ENSP00000211287,ENSP00000266970,1,O15264,P24941
ENSP00000211287,ENSP00000264657,1,O15264,P40763
ENSP00000211287,ENSP00000437955,1,O15264,Q16665
ENSP00000211287,ENSP00000229795,1,O15264,Q16539
ENSP00000211287,ENSP00000248553,1,O15264,P04792
ENSP00000211287,ENSP00000387699,1,O15264,P16220
